"","Taxon.Name","Fine.Sediment.Sensitivity"
"1","Ampumixis dispar",20
"3","Narpus concolor",5
"7","Atrichopogon",15
"8","Prosimulium",5
"12","Antocha monticola",15
"18","Suwallia",10
"26","Perlinodes aurea",20
"29","Kogotus",15
"38","Arctopsyche grandis",15
"41","Amiocentrus aspilus",5
"49","Neothremma alicia",10
"57","Paraleptophlebia bicornuta",10
"63","Drunella coloradensis",10
"65","Drunella grandis",10
"66","Drunella spinifera",5
"67","Drunella flavilinea/coloradensis",15
"72","Serratella teresa",5
"76","Baetis bicaudatus",5
"78","Ecdyonurus criddlei",5
"80","Epeorus albertae",10
"82","Epeorus grandis",15
"85","Nixe",5
"87","Rhithrogena hageni",20
"88","Rhithrogena robusta",20
"90","Polycelis coronata",10
