"","Taxon.Name","Hilsenhoff.Tolerance"
"2","Hirudinidae",7
"4","Dina",8
"5","Haemopis",10
"7","Placobdella",6
"9","Theromyzon",10
"10","Piscicola",10
"11","Piscicola salmositica",7
"13","Branchiobdellidae",6
"17","Rhyacodrilus sodalis",10
"21","Hygrobates occidentalis",8
"24","Piersigiidae",8
"31","Pacifastacus connectens",6
"32","Pacifastacus leniusculus",6
"34","Anisogammarus",4
"37","Talitridae",8
"41","Caecidotea communis",6
"43","Cyclopoida",8
"46","Colymbetes",5
"47","Dytiscus",5
"49","Deronectes",5
"50","Hydroporus",5
"52","Oreodytes congruus",5
"53","Desmopachria",5
"55","Gyrinus",5
"57","Hydroscapha",7
"58","Helichus striatus",5
"59","Helichus striatus foveatus",5
"62","Ampumixis dispar",4
"64","Cleptelmis",4
"66","Cleptelmis ornata",4
"67","Cylloepus",4
"69","Dubiraphia giulianii",6
"70","Gonielmis",5
"72","Heterlimnius",4
"74","Heterlimnius koebelei",4
"75","Optioservus castanipennis",4
"76","Optioservus divergens",4
"77","Optioservus fastiditus",4
"78","Optioservus quadrimaculatus",4
"79","Optioservus seriatus",4
"80","Ordobrevia",4
"82","Oulimnius",4
"83","Rhizelmis",1
"86","Zaitzevia milleri",4
"87","Zaitzevia parvulus",4
"89","Eubrianax",4
"92","Psephenus falli",4
"95","Chaetarthria",5
"99","Sperchopsis",5
"105","Oreothalia",6
"106","Chelifera",6
"114","Atherix variegata",2
"115","Pelecorhynchidae",3
"117","Tabanus",5
"122","Philorus",0
"126","Bezzia",6
"127","Palpomyia",6
"129","Atrichopogon",6
"130","Forcipomyia",6
"136","Einfeldia",8
"142","Polypedilum (Pentapedilum)",6
"148","Nimbocera",6
"160","Potthastia gaedii",6
"161","Potthastia longimana",2
"169","Cricotopus festivellus",7
"170","Cricotopus tremulus",7
"171","Cricotopus trifascia",7
"175","Eukiefferiella brehmi",8
"176","Eukiefferiella brevicalcar",8
"177","Eukiefferiella claripennis",8
"178","Eukiefferiella devonica",8
"179","Eukiefferiella gracei",8
"180","Eukiefferiella pseudomontana",8
"183","Heterotrissocladius subpilosus",0
"193","Paratrichocladius",6
"196","Psectrocladius limbatellus",8
"197","Psectrocladius sordidellus",8
"203","Tvetenia bavarica",5
"212","Conchapelopia",6
"214","Thienemannimyia",6
"222","Prosimulium",3
"223","Twinnia",6
"225","Simulium bivittatum",6
"226","Simulium meridionale",6
"227","Simulium vittatum",6
"230","Pericoma",4
"231","Psychoda",10
"234","Protanyderus",1
"235","Protoplasa",5
"241","Rhabdomastix fascigera",3
"242","Rhabdomastix setigera",3
"244","Limnophila",4
"247","Antocha monticola",3
"248","Limonia",6
"252","Gerris buenoi",5
"253","Saldidae",10
"254","Saldula",10
"256","Tenagobia",8
"257","Cenocorixa bifida",8
"258","Sigara washingtonensis",8
"259","Cymatia",8
"260","Naucoridae",5
"263","Paracapnia",1
"265","Despaxia",0
"267","Moselia infuscata",0
"268","Paraleuctra",0
"269","Paraleuctra occidentalis",0
"270","Perlomyia",0
"273","Amphinemura",2
"276","Prostoia",2
"277","Prostoia besametsa",2
"284","Zapada oregonensis",2
"286","Doddsia occidentalis",2
"287","Taenionema pallidum",2
"291","Suwallia",1
"293","Triznaka",1
"295","Kathroperla perdita",1
"301","Perlesta",5
"303","Isogenus",2
"304","Calliperla",2
"305","Cascadoperla",2
"309","Oroperla",2
"310","Perlinodes aurea",2
"312","Setvena bradleyi",2
"315","Kogotus",2
"316","Pictetiella",2
"317","Pictetiella expansa",2
"318","Rickera sorpta",2
"320","Diura knowltoni",2
"322","Yugus",2
"327","Glossosoma intermedium",0
"328","Culoptila cantha",0
"330","Protoptila coloma",1
"331","Protoptila tenebrosa",1
"335","Arctopsyche californica",2
"337","Diplectrona",0
"339","Cheumatopsyche campyla",6
"340","Cheumatopsyche enonis",6
"341","Cheumatopsyche pettiti",6
"343","Hydropsyche californica",4
"344","Hydropsyche occidentalis",4
"345","Psychomyia lumina",2
"347","Hydroptila argosa",6
"349","Mayatrichia",6
