"","Taxon.Name","Metals.Tolerance"
"9","Dineutus longimanus portoricensis",5
"24","Euparyphus",4
"25","Atherix pachypus",4
"44","Krenopsectra",1
"60","Cricotopus (Nostococladius)",5
"84","Simulium (Eusimulium)",5
"105","Isoperla fulva",3
"106","Isoperla quinquepunctata",2
"116","Arctopsyche grandis",3
"118","Ceratopsyche cockerelli",4
"119","Ceratopsyche morosa",5
"120","Ceratopsyche oslari",6
"121","Ceratopsyche slossonae",6
"122","Ceratopsyche tana",6
"125","Hydropsyche occidentalis",5
"131","Leucotrichia notosa",1
"132","Leucotrichia pictipes",1
"139","Amiocentrus aspilus",1
"140","Brachycentrus americanus",4
"141","Brachycentrus occidentalis",3
"142","Micrasema bactro",2
"154","Helicopsyche borealis",3
"179","Plauditus punctiventris",3
"186","Heptagenia solitaria",1
"187","Maccaffertium terminatum",1
"195","Ferrissia rivularis",1
"196","Fisherola nuttalli",1
"198","Radix auricularia",1
"202","Valvata humeralis",1
