"","Taxon","FSBI_Score"
"6","Ameletus connectus",0
"7","Ameletus cooki",0
"8","Ameletus similor",0
"9","Ameletus validus",0
"10","Ameletus velox",0
"12","Amiocentrus aspilus",5
"20","Arctopsyche grandis",15
"31","Baetis intercalaris",0
"32","Baetis notus",0
"35","Brachycentrus americanus",15
"36","Brachycentrus occidentalis",0
"41","Caudatella cascadia",15
"45","Caudatella jacobi E",15
"58","Dicosmoecus gilvipes",10
"66","Doroneuria theodora",15
"83","Ephemerella inermis",0
"85","Ephemerella infrequens",0
"87","Ferrissia rivularis",0
"92","Helicopsyche borealis",0
"95","Heptagenia/Nixe",0
"105","Hydropsyche betteni",0
"109","Isoperla fulva",15
"110","Isoperla petersoni",15
"116","Lepidostoma-panel case larvae",0
"117","Lepidostoma-sand case larvae",0
"128","Neaviperla",20
"130","Neophylax rickeri",10
"132","Neothremma alicia",10
"134","Nixe criddlei",5
"140","Onocosmoecus unicolor",0
"143","Optioservus divergens",0
"145","Optioservus seriatus",0
"158","Parapsyche almota",5
"159","Parapsyche elsis",5
"160","Pascifastacus leniusculus",0
"181","Rhabdomastix fascigera Group",5
"182","Rhabdomastix setigera Group",5
"184","Rhithrogena hageni",20
"185","Rhithrogena robusta",20
"189","Rhyacophila Brunnea Group",0
"205","Setvena bradleyi",15
"209","Skwala curvata",0
