"","Taxon.Name","2012.Clinger","2012.Intolerant","2012.Long.Lived","2012.Predator","2012.Tolerant"
"2","Hirudinea",FALSE,FALSE,TRUE,TRUE,FALSE
"3","Erpobdellidae",FALSE,FALSE,TRUE,TRUE,TRUE
"5","Mooreobdella",FALSE,FALSE,TRUE,TRUE,TRUE
"7","Glossiphonia complanata",FALSE,FALSE,TRUE,TRUE,FALSE
"9","Helobdella stagnalis",FALSE,FALSE,FALSE,TRUE,FALSE
"11","Piscicola",FALSE,FALSE,TRUE,TRUE,FALSE
"34","Eiseniella tetraedra",FALSE,FALSE,FALSE,FALSE,FALSE
"36","Lumbriculus",FALSE,FALSE,TRUE,FALSE,FALSE
"56","Protzia exima",FALSE,FALSE,FALSE,FALSE,FALSE
"66","Pacifastacus leniusculus",FALSE,FALSE,TRUE,FALSE,FALSE
"70","Eogammarus",FALSE,FALSE,FALSE,FALSE,FALSE
"73","Corophium",FALSE,FALSE,FALSE,FALSE,FALSE
"78","Hyalella azteca",FALSE,FALSE,FALSE,FALSE,FALSE
"91","Rhantus",FALSE,FALSE,FALSE,TRUE,FALSE
"94","Hydroporus",FALSE,FALSE,FALSE,TRUE,FALSE
"97","Hydrovatus",FALSE,FALSE,FALSE,TRUE,FALSE
"98","Hygrotus",FALSE,FALSE,FALSE,TRUE,FALSE
"108","Ampumixis dispar",TRUE,FALSE,TRUE,FALSE,FALSE
"109","Cleptelmis",TRUE,FALSE,TRUE,FALSE,FALSE
"111","Cleptelmis ornata",TRUE,FALSE,TRUE,FALSE,FALSE
"112","Heterlimnius",TRUE,FALSE,TRUE,FALSE,FALSE
"114","Heterlimnius koebelei",TRUE,FALSE,TRUE,FALSE,FALSE
"116","Lara avara",TRUE,FALSE,TRUE,FALSE,FALSE
"119","Narpus concolor",TRUE,FALSE,TRUE,FALSE,FALSE
"121","Optioservus quadrimaculatus",TRUE,FALSE,TRUE,FALSE,FALSE
"124","Dicranopselaphus",FALSE,FALSE,FALSE,FALSE,FALSE
"135","Hydraena",TRUE,FALSE,FALSE,FALSE,FALSE
"136","Limnebius",FALSE,FALSE,FALSE,FALSE,FALSE
"137","Ochthebius",FALSE,FALSE,FALSE,FALSE,FALSE
"145","Empididae Genus B",TRUE,FALSE,FALSE,TRUE,FALSE
"150","Hemerodromiinae",TRUE,FALSE,FALSE,TRUE,FALSE
"151","Chelifera",TRUE,FALSE,FALSE,TRUE,FALSE
"164","Athericidae",FALSE,FALSE,FALSE,TRUE,FALSE
"167","Glutops bandus",FALSE,FALSE,FALSE,TRUE,FALSE
"169","Chrysops",FALSE,FALSE,FALSE,TRUE,FALSE
"170","Hybomitra",FALSE,FALSE,FALSE,TRUE,FALSE
"179","Ceratopogon",FALSE,FALSE,FALSE,TRUE,FALSE
"180","Monohelea",FALSE,FALSE,FALSE,TRUE,FALSE
"181","Serromyia",FALSE,FALSE,FALSE,TRUE,FALSE
"182","Culicoides",FALSE,FALSE,FALSE,TRUE,FALSE
"183","Palpomyiini",FALSE,FALSE,FALSE,TRUE,FALSE
