"","Taxon.Name","2012.Clinger","2012.Intolerant","2012.Long.Lived","2012.Predator","2012.Tolerant"
"34","Eiseniella tetraedra",FALSE,FALSE,FALSE,FALSE,FALSE
"56","Protzia exima",FALSE,FALSE,FALSE,FALSE,FALSE
"164","Athericidae",FALSE,FALSE,FALSE,TRUE,FALSE
"167","Glutops bandus",FALSE,FALSE,FALSE,TRUE,FALSE
"214","Tribelos jucundus",FALSE,FALSE,FALSE,FALSE,FALSE
"218","Constempellina brevicosta",FALSE,FALSE,FALSE,FALSE,FALSE
"225","Sublettea coffmani",FALSE,FALSE,FALSE,FALSE,FALSE
"245","Cricotopus (Cricotopus)",TRUE,FALSE,FALSE,FALSE,FALSE
"246","Cricotopus bicinctus",TRUE,FALSE,FALSE,FALSE,FALSE
"247","Cricotopus trifascia",TRUE,FALSE,FALSE,FALSE,FALSE
"248","Cricotopus (Isocladius)",TRUE,FALSE,FALSE,FALSE,FALSE
"249","Cricotopus (Nostococladius)",TRUE,FALSE,FALSE,FALSE,FALSE
"253","Diplocladius cultriger",FALSE,FALSE,FALSE,FALSE,TRUE
"255","Eukiefferiella cf. tirolensis",FALSE,FALSE,FALSE,FALSE,FALSE
"256","Eukiefferiella claripennis",FALSE,FALSE,FALSE,FALSE,FALSE
"257","Eukiefferiella coerulescens",FALSE,FALSE,FALSE,FALSE,FALSE
"269","Heterotrissocladius marcidus",FALSE,FALSE,FALSE,FALSE,FALSE
"278","Orthocladius (Euorthocladius)",FALSE,FALSE,FALSE,FALSE,FALSE
"279","Orthocladius (Symposiocladius)",FALSE,FALSE,FALSE,FALSE,FALSE
"280","Orthocladius lignicola",FALSE,FALSE,FALSE,FALSE,FALSE
"290","Psilometriocnemus triannulatus",FALSE,FALSE,FALSE,FALSE,FALSE
"295","Thienemannia gracilis",FALSE,FALSE,FALSE,FALSE,FALSE
"298","Tvetenia bavarica",FALSE,FALSE,FALSE,FALSE,FALSE
"299","Tvetenia vitracies",FALSE,FALSE,FALSE,FALSE,FALSE
"301","Xylotopus par",FALSE,FALSE,FALSE,FALSE,FALSE
"312","Brundiniella eumorpha",FALSE,FALSE,FALSE,TRUE,FALSE
"314","Macropelopia decedens",FALSE,FALSE,FALSE,TRUE,FALSE
"343","Simulium canadense",TRUE,FALSE,FALSE,FALSE,TRUE
