"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Coarse_STE","Coarse_STE_rank"
"1","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Hadromerida","ZZZ","ZZZ","ZZZ","Suberitidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","Genus"
"2","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Tanypodinae","ZZZ","Pentaneurini","ZZZ","ZZZ","Ablabesmyia","ZZZ","ZZZ","ZZZ","ZZZ","Chironomidae","Family"
"3","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Orthocladiinae","ZZZ","ZZZ","ZZZ","ZZZ","Acamptocladius","ZZZ","ZZZ","ZZZ","ZZZ","Chironomidae","Family"
"4","Mollusca","ZZZ","ZZZ","Bivalvia","Pteriomorphia","ZZZ","ZZZ","Arcoida","ZZZ","ZZZ","ZZZ","Arcidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acar","ZZZ","ZZZ","ZZZ","ZZZ","Acar","Genus"
"5","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"9","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acerpenna","ZZZ","ZZZ","pygmaea","ZZZ","Acerpenna pygmaea","Species"
"10","Annelida","ZZZ","ZZZ","Clitellata","Oligochaeta","ZZZ","ZZZ","Haplotaxida","Tubificina","ZZZ","ZZZ","Enchytraeidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Achaeta","ZZZ","ZZZ","ZZZ","ZZZ","Oligochaeta","Subclass"
"11","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","Eubriinae","ZZZ","ZZZ","ZZZ","ZZZ","Acneus","ZZZ","ZZZ","ZZZ","ZZZ","Acneus","Genus"
"12","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Orthocladiinae","ZZZ","ZZZ","ZZZ","ZZZ","Acricotopus","ZZZ","ZZZ","ZZZ","ZZZ","Chironomidae","Family"
"13","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Culicidae","Culicinae","ZZZ","Culicini","ZZZ","ZZZ","Aedes","ZZZ","ZZZ","ZZZ","ZZZ","Aedes","Genus"
"14","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Aeshnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna","Genus"
"15","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Aeshnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna","ZZZ","ZZZ","interrupta","ZZZ","Aeshna interrupta","Species"
"16","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Aeshnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna","ZZZ","ZZZ","umbrosa","ZZZ","Aeshna umbrosa","Species"
"17","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Aeshnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aeshnidae","Family"
"18","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Setisura","ZZZ","ZZZ","Heptageniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","Genus"
