"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Fine_STE","Fine_STE_rank"
"1","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Hadromerida","ZZZ","ZZZ","ZZZ","Suberitidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","Genus"
"2","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Tanypodinae","ZZZ","Pentaneurini","ZZZ","ZZZ","Ablabesmyia","ZZZ","ZZZ","ZZZ","ZZZ","Ablabesmyia","Genus"
"3","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Orthocladiinae","ZZZ","ZZZ","ZZZ","ZZZ","Acamptocladius","ZZZ","ZZZ","ZZZ","ZZZ","Acamptocladius","Genus"
"4","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"5","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"6","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"10","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acerpenna","ZZZ","ZZZ","pygmaea","ZZZ","Acerpenna pygmaea","Species"
"11","Annelida","ZZZ","ZZZ","Clitellata","Oligochaeta","ZZZ","ZZZ","Haplotaxida","Tubificina","ZZZ","ZZZ","Enchytraeidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Achaeta","ZZZ","ZZZ","ZZZ","ZZZ","Achaeta","Genus"
"12","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","Eubriinae","ZZZ","ZZZ","ZZZ","ZZZ","Acneus","ZZZ","ZZZ","ZZZ","ZZZ","Acneus","Genus"
"13","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Orthocladiinae","ZZZ","ZZZ","ZZZ","ZZZ","Acricotopus","ZZZ","ZZZ","ZZZ","ZZZ","Acricotopus","Genus"
"14","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Aeshnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna/Rhionaeschna","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna/Rhionaeschna","Genus"
"15","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Aeshnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna/Rhionaeschna","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna/Rhionaeschna","Genus"
"16","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Aeshnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna/Rhionaeschna","ZZZ","ZZZ","ZZZ","ZZZ","Aeshna/Rhionaeschna","Genus"
"17","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Aeshnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aeshnidae","Family"
"18","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Setisura","ZZZ","ZZZ","Heptageniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","Genus"
"19","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Setisura","ZZZ","ZZZ","Heptageniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","Genus"
"20","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Setisura","ZZZ","ZZZ","Heptageniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","Genus"
"21","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Setisura","ZZZ","ZZZ","Heptageniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","ZZZ","ZZZ","criddlei","ZZZ","Afghanurus criddlei","Species"
"22","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Setisura","ZZZ","ZZZ","Heptageniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Afghanurus","ZZZ","ZZZ","criddlei","ZZZ","Afghanurus criddlei","Species"
"23","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Agabinae","Subfamily"
"24","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Agabinae","Subfamily"
"25","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Agabinae","Subfamily"
"26","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Agabinae","Subfamily"
"27","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","Agabini","ZZZ","ZZZ","Agabinus","ZZZ","ZZZ","ZZZ","ZZZ","Agabinus","Genus"
"28","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","Agabini","ZZZ","ZZZ","Agabus","ZZZ","ZZZ","ZZZ","ZZZ","Agabus","Genus"
