"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Fine_STE","Fine_STE_rank"
"1","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Hadromerida","ZZZ","ZZZ","ZZZ","Suberitidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","Genus"
"4","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"5","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"6","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"7","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acentrella","ZZZ","ZZZ","ZZZ","ZZZ","Acentrella","Genus"
"8","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acentrella","ZZZ","ZZZ","insignificans","ZZZ","Acentrella insignificans","Species"
"9","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acentrella","ZZZ","ZZZ","turbida","ZZZ","Acentrella turbida","Species"
"10","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acerpenna","ZZZ","ZZZ","pygmaea","ZZZ","Acerpenna pygmaea","Species"
"23","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Agabinae","Subfamily"
"24","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Agabinae","Subfamily"
"25","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Agabinae","Subfamily"
"26","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Agabinae","Subfamily"
"27","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","Agabini","ZZZ","ZZZ","Agabinus","ZZZ","ZZZ","ZZZ","ZZZ","Agabinus","Genus"
"28","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","Agabini","ZZZ","ZZZ","Agabus","ZZZ","ZZZ","ZZZ","ZZZ","Agabus","Genus"
"31","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Hydroptiloidea","Hydroptilidae","Hydroptilinae","ZZZ","Hydroptilini","ZZZ","ZZZ","Agraylea","ZZZ","ZZZ","ZZZ","ZZZ","Agraylea","Genus"
"32","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Axonopsidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Albia","ZZZ","ZZZ","ZZZ","ZZZ","Albia","Genus"
"46","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Sperchopsini","ZZZ","ZZZ","Ametor","ZZZ","ZZZ","ZZZ","ZZZ","Ametor","Genus"
"47","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Sperchopsini","ZZZ","ZZZ","Ametor","ZZZ","ZZZ","ZZZ","ZZZ","Ametor","Genus"
"52","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Amphizoidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Amphizoa","ZZZ","ZZZ","ZZZ","ZZZ","Amphizoa","Genus"
"55","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Anacaenini","ZZZ","ZZZ","Anacaena","ZZZ","ZZZ","ZZZ","ZZZ","Anacaena","Genus"
"56","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","Genus"
"57","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","Genus"
"58","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","Genus"
