"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Fine_STE","Fine_STE_rank"
"1","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Hadromerida","ZZZ","ZZZ","ZZZ","Suberitidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","Genus"
"4","Mollusca","ZZZ","ZZZ","Bivalvia","Pteriomorphia","ZZZ","ZZZ","Arcoida","ZZZ","ZZZ","ZZZ","Arcidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acar","ZZZ","ZZZ","ZZZ","ZZZ","Acar","Genus"
"5","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"6","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acentrella","ZZZ","ZZZ","ZZZ","ZZZ","Acentrella","Genus"
"7","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acentrella","ZZZ","ZZZ","insignificans","ZZZ","Acentrella insignificans","Species"
"8","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acentrella","ZZZ","ZZZ","turbida","ZZZ","Acentrella turbida","Species"
"9","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acerpenna","ZZZ","ZZZ","pygmaea","ZZZ","Acerpenna pygmaea","Species"
"20","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Agabinae","Subfamily"
"21","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","Agabini","ZZZ","ZZZ","Agabinus","ZZZ","ZZZ","ZZZ","ZZZ","Agabinus","Genus"
"22","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Agabinae","ZZZ","Agabini","ZZZ","ZZZ","Agabus","ZZZ","ZZZ","ZZZ","ZZZ","Agabus","Genus"
