"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Medium_STE","Medium_STE_rank"
"1","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Hadromerida","ZZZ","ZZZ","ZZZ","Suberitidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","Genus"
"55","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anisoptera","Suborder"
"68","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","Lestidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Archilestes","ZZZ","ZZZ","ZZZ","ZZZ","Archilestes","Genus"
"157","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","Calopterygidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Calopterygidae","Family"
"158","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","Calopterygidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Calopteryx","ZZZ","ZZZ","ZZZ","ZZZ","Calopteryx","Genus"
"253","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Cordulegastridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Cordulegastridae","Family"
"257","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera","ZZZ","ZZZ","ZZZ","Corydalidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Corydalidae","Family"
"406","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Corduliidae","Corduliinae","ZZZ","ZZZ","ZZZ","ZZZ","Epitheca","ZZZ","ZZZ","ZZZ","ZZZ","Epitheca","Genus"
"446","Ectoprocta","ZZZ","ZZZ","Gymnolaemata","ZZZ","ZZZ","ZZZ","Cheilostomata","Anasca","ZZZ","ZZZ","Flustridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Flustra","ZZZ","ZZZ","ZZZ","ZZZ","Flustra","Genus"
"548","Ectoprocta","ZZZ","ZZZ","Gymnolaemata","ZZZ","ZZZ","ZZZ","Cyclostomata","Cerioporina","ZZZ","ZZZ","Heteroporidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Heteropora","ZZZ","ZZZ","pacifica","ZZZ","Heteropora pacifica","Species"
"555","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hymenoptera","Apocrita","Terebrantes","Cynipoidea","Figitidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hexacola","ZZZ","ZZZ","ZZZ","ZZZ","Hexacola","Genus"
"626","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Astrophorida","ZZZ","ZZZ","ZZZ","Geodiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Isops","ZZZ","ZZZ","ZZZ","ZZZ","Isops","Genus"
"681","Cnidaria","ZZZ","ZZZ","Anthozoa","Hexacorallia","ZZZ","ZZZ","Actiniaria","Nyantheae","Athenaria","ZZZ","Limnactiniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Limnactiniidae","Family"
"731","Cnidaria","ZZZ","ZZZ","Anthozoa","Hexacorallia","ZZZ","ZZZ","Actiniaria","Nyantheae","Athenaria","ZZZ","Halcampidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Mena","ZZZ","ZZZ","ZZZ","ZZZ","Mena","Genus"
"794","Nematoda","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Nematoda","Phylum"
"802","Arthropoda","Crustacea","ZZZ","Malacostraca","Eumalacostraca","ZZZ","Peracarida","Mysida","ZZZ","ZZZ","ZZZ","Mysidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Neomysis","ZZZ","ZZZ","ZZZ","ZZZ","Neomysis","Genus"
"816","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","Neuropterida","Neuroptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Neuroptera","Order"
