"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Mapped.Taxon.Serial.Number","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"1","Aaptos","Aaptos","Aaptos","Aaptos",48575,"Aaptos",48575,"Porifera","","","Demospongiae","","","","Hadromerida","","","","Suberitidae","","","","","","Aaptos","","","","",NA,NA,"Genus","Genus","Genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Ablabesmyia","Pentaneurini","Chironomidae","Ablabesmyia",128079,"Ablabesmyia",128079,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Pentaneurini","","","Ablabesmyia","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Pentaneurini","Ablabesmyia","Chironomidae","Pentaneurini","Pentaneurini",NA,NA,"Ablabesmyia",NA,NA,NA,NA,NA,NA
"3","Acamptocladius","Orthocladiinae","Chironomidae","Acamptocladius",128460,"Acamptocladius",128460,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Acamptocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Acari","Acari","Acari","Acari",733321,"Sarcoptiformes",83538,"Arthropoda","Chelicerata","","Arachnida","Acari","","","","","","","","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Subclass","Acari","Acari","Acari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Acari","Acari","Acari","Acari",733321,"Acari",733321,"Arthropoda","Chelicerata","","Arachnida","Acari","","","","","","","","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Subclass","Acari","Acari","Acari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Acari","Acari","Acari","Acari",733321,"Acar",79375,"Arthropoda","Chelicerata","","Arachnida","Acari","","","","","","","","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Subclass","Acari","Acari","Acari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Acentrella","Acentrella","Acentrella","Acentrella",100801,"Acentrella",100801,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Acentrella","","","","",NA,NA,"Genus","Genus","Genus","Acentrella","Acentrella","Acentrella",NA,NA,NA,"Acentrella","Acentrella","Acentrella","Acentrella","Acentrella","Acentrella","Acentrella","Acentrella","Acentrella"
"8","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans",568572,"Acentrella insignificans",568572,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Acentrella","","","insignificans","",NA,NA,"Species","Species","Species","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans",NA,NA,NA,"Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans"
"9","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida",568574,"Acentrella turbida",568574,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Acentrella","","","turbida","",NA,NA,"Species","Species","Species","Acentrella turbida","Acentrella turbida","Acentrella turbida",NA,NA,NA,"Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida"
"10","Acerpenna pygmaea","Acerpenna pygmaea","Acerpenna pygmaea","Acerpenna pygmaea",206620,"Acerpenna pygmaea",206620,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Acerpenna","","","pygmaea","",NA,NA,"Species","Species","Species","Baetidae","Baetidae","Baetidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
